Mention ID,Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
b0fcaca4-78eb-4e83-858b-2ec5a5d8186f,15,731.0,1604.0,4.388508891928865,0.00601165601634091,0.006589243260510756,1.3710914104894953,-0.26269661418982204,0.0,2.0,-0.26269661418982204,8.529985412314993,7.7769903015831945,0.0029511884287962632,273.0,96.0,0.27472527472527475,0.10416666666666667,0.256,723.0,1604.0,7.0,4.0,4.0,8.0,0.0,1.0,,4.0,0.0024937655860349127,0.0024937655860349127,0.0,1.0,2.0,0.0,1.0,1.0,4.0,3.0,4.0
99daccfc-2671-493a-bc5f-10e4afe406a2,16,731.0,1604.0,4.388508891928865,0.00601165601634091,0.006589243260510756,1.3710914104894953,-0.26269661418982204,0.0,2.0,-0.26269661418982204,8.529985412314993,7.7769903015831945,0.0029511884287962632,273.0,96.0,0.27472527472527475,0.10416666666666667,0.256,723.0,1604.0,7.0,4.0,4.0,8.0,0.0,1.0,,4.0,0.0024937655860349127,0.0024937655860349127,0.0,1.0,2.0,0.0,1.0,1.0,4.0,3.0,4.0
41e30f14-adcf-45d6-9c81-f5133b91405a,17,744.0,1637.0,4.400537634408602,0.005922661688302291,0.006884020219251935,1.38247878167233,-0.2694174169136053,0.0,2.0,-0.2694174169136053,8.55620755376337,7.865919587233545,0.002908573245461903,273.0,96.0,0.304029304029304,0.10416666666666667,0.256,749.0,1637.0,8.0,5.0,5.0,9.0,0.0,1.0,0.0,5.0,0.0030543677458766036,0.0030543677458766036,0.0,1.0,1.8,0.0,1.0,1.0,5.0,4.0,5.0
5c8b5554-1a45-4b2d-893f-55dac63668b9,18,744.0,1637.0,4.400537634408602,0.005922661688302291,0.006884020219251935,1.38247878167233,-0.2694174169136053,0.0,2.0,-0.2694174169136053,8.55620755376337,7.865919587233545,0.002908573245461903,273.0,96.0,0.304029304029304,0.10416666666666667,0.256,749.0,1637.0,8.0,5.0,5.0,9.0,0.0,1.0,,5.0,0.0030543677458766036,0.0030543677458766036,0.0,1.0,1.8,0.0,1.0,1.0,5.0,4.0,5.0
88a5f8ac-9f5f-4130-a24f-06a6a47e7279,19,761.0,1682.0,4.4204993429697765,0.0058164465039076,0.007298010337833699,1.3932612685897836,-0.278285551277402,0.0,2.0,-0.278285551277402,8.586860923192326,7.973197091631871,0.0028577792896475867,273.0,96.0,0.3443223443223443,0.10416666666666667,0.256,784.0,1682.0,9.0,6.0,6.0,11.0,0.0,1.0,0.0,6.0,0.0035671819262782403,0.0035671819262782403,0.0,1.0,1.8333333333333333,0.0,1.0,1.0,6.0,5.0,6.0
e06b4f00-a794-415c-bac6-5aa4a6ba5f15,20,761.0,1682.0,4.4204993429697765,0.0058164465039076,0.007298010337833699,1.3932612685897836,-0.278285551277402,0.0,2.0,-0.278285551277402,8.586860923192326,7.973197091631871,0.0028577792896475867,273.0,96.0,0.3443223443223443,0.10416666666666667,0.256,784.0,1682.0,9.0,6.0,6.0,11.0,0.0,1.0,,6.0,0.0035671819262782403,0.0035671819262782403,0.0,1.0,1.8333333333333333,0.0,1.0,1.0,6.0,5.0,6.0
4a474c96-acb6-4f5a-95bc-98d8565b221a,21,761.0,1682.0,4.4204993429697765,0.0058164465039076,0.007298010337833699,1.3932612685897836,-0.278285551277402,0.0,2.0,-0.278285551277402,8.586860923192326,7.973197091631871,0.0028577792896475867,273.0,96.0,0.3443223443223443,0.10416666666666667,0.256,784.0,1682.0,9.0,6.0,6.0,11.0,0.0,1.0,,6.0,0.0035671819262782403,0.0035671819262782403,0.0,1.0,1.8333333333333333,0.0,1.0,1.0,6.0,5.0,6.0
04dc9f23-d1dc-4b86-9607-a96e2cd2c5ef,22,777.0,1733.0,4.460746460746461,0.005748384614363996,0.007781286334830298,1.414212189212189,-0.2843651427263806,0.0,2.0,-0.2843651427263806,8.61263506896214,8.067412618732376,0.002825771165539505,273.0,96.0,0.38461538461538464,0.10416666666666667,0.256,825.0,1733.0,9.0,7.0,7.0,14.0,0.0,1.0,0.0,7.0,0.004039238315060588,0.004039238315060588,0.0,1.0,2.0,0.0,1.0,1.0,7.0,6.0,7.0
c5bf9017-28c1-4529-ae81-6e9f886ed716,23,777.0,1733.0,4.460746460746461,0.005748384614363996,0.007781286334830298,1.414212189212189,-0.2843651427263806,0.0,2.0,-0.2843651427263806,8.61263506896214,8.067412618732376,0.002825771165539505,273.0,96.0,0.38461538461538464,0.10416666666666667,0.256,825.0,1733.0,9.0,7.0,7.0,14.0,0.0,1.0,,7.0,0.004039238315060588,0.004039238315060588,0.0,1.0,2.0,0.0,1.0,1.0,7.0,6.0,7.0
4be22411-b299-40ee-b61b-cceb244fefa2,24,777.0,1733.0,4.460746460746461,0.005748384614363996,0.007781286334830298,1.414212189212189,-0.2843651427263806,0.0,2.0,-0.2843651427263806,8.61263506896214,8.067412618732376,0.002825771165539505,273.0,96.0,0.38461538461538464,0.10416666666666667,0.256,825.0,1733.0,9.0,7.0,7.0,14.0,0.0,1.0,,7.0,0.004039238315060588,0.004039238315060588,0.0,1.0,2.0,0.0,1.0,1.0,7.0,6.0,7.0
